Method,Model,Dataset,AvgTrainAcc,DevTrain,AvgTestAccAfter,DeviationAfter,HiddenDim,LR,Dropout,TrainNodes,TestNodes,ValNodes,GCNTime
Baseline,SimpleGCN,Cora,100.0000,0.0000,77.4000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,26.20126962661743
Baseline,GATv2,Cora,99.5939,0.0000,84.0000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,34.91120529174805
Baseline,SimpleGCN,Cora,99.6954,0.0000,81.7000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,79.77371120452881
Baseline,GATv2,Cora,99.6954,0.0000,83.3000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,104.98463487625122
Baseline,SimpleGCN,Cora,100.0000,0.0000,79.9000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,86.38238668441772
Baseline,GATv2,Cora,99.6954,0.0000,83.5000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,106.82075715065002
Baseline,SimpleGCN,Cora,99.3909,0.0000,81.1000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,78.98079776763916
Baseline,SimpleGCN,Cora,100.0000,0.0000,80.8000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,89.79450130462646
Baseline,SimpleGCN,Cora,100.0000,0.0000,81.7000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,82.66701412200928
Baseline,SimpleGCN,Cora,100.0000,0.0000,78.9000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,80.08545923233032
Baseline,SimpleGCN,Cora,99.8985,0.0000,79.1000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,64.86787676811218
Baseline,SimpleGCN,Cora,100.0000,0.0000,80.2000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,48.453551292419434
Baseline,GATv2,Cora,99.4924,0.0000,84.4000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,68.17915940284729
Baseline,GATv2,Cora,30.1523,0.0000,28.8000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,128.33971095085144
Baseline,GATv2,Cora,99.8985,0.0000,85.0000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,123.06464266777039
Baseline,GATv2,Cora,99.7970,0.0000,85.2000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,126.31355810165405
Baseline,GATv2,Cora,99.7970,0.0000,82.2000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,138.39720368385315
Baseline,GATv2,Cora,99.5939,0.0000,84.5000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,87.23377513885498
Baseline,SimpleGCN,Cora,100.0000,0.0000,81.2000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,56.198774576187134
Baseline,SimpleGCN,Cora,100.0000,0.0000,77.9000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,55.68390440940857
Baseline,SimpleGCN,Cora,100.0000,0.0000,82.7000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,61.652042627334595
Baseline,SimpleGCN,Cora,100.0000,0.0000,77.5000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,55.21592307090759
Baseline,SimpleGCN,Cora,100.0000,0.0000,81.6000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,55.537967681884766
Baseline,SimpleGCN,Cora,99.7970,0.0000,77.6000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,55.309606313705444
Baseline,SimpleGCN,Cora,99.8985,0.0000,81.8000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,54.99026560783386
Baseline,SimpleGCN,Cora,100.0000,0.0000,80.2000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,55.613457679748535
Baseline,GATv2,Cora,99.6954,0.0000,85.4000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,72.98607873916626
Baseline,SimpleGCN,Cora,99.8985,0.0000,81.1000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,50.4715256690979
Baseline,SimpleGCN,Cora,100.0000,0.0000,81.3000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,50.44972038269043
Baseline,SimpleGCN,Cora,100.0000,0.0000,80.7000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,50.129170656204224
Baseline,SimpleGCN,Cora,100.0000,0.0000,79.4000,0.0000,64,0.01,0.0,985.0,1000.0,500.0,50.865493297576904
